date,title,transcript_url
"January 07, 2014","Press Briefing by Press Secretary Jay Carney, 1/7/2013",/the-press-office/2014/01/07/press-briefing-press-secretary-jay-carney-172013
date,title,transcript_url
"January 06, 2014",Press Briefing by Press Secretary Jay Carney and Director of the National Economic Council Gene Sperling 01/06/14,/the-press-office/2014/01/06/press-briefing-press-secretary-jay-carney-and-director-national-economic
"December 19, 2013","Press Briefing by Press Secretary Jay Carney, 12/19/2013",/the-press-office/2013/12/19/press-briefing-press-secretary-jay-carney-12192013
"December 18, 2013","Press Briefing by Press Secretary Jay Carney, 12/18/2013",/the-press-office/2013/12/18/press-briefing-press-secretary-jay-carney-12182013
"December 17, 2013","Press Briefing by the Press Secretary, 12/17/2013",/the-press-office/2013/12/17/press-briefing-press-secretary-12172013
"December 13, 2013","Press Briefing by Press Secretary Jay Carney, 12/13/2013",/the-press-office/2013/12/13/press-briefing-press-secretary-jay-carney-12132013
"December 12, 2013","Press Briefing by Press Secretary Jay Carney, 12/12/13",/the-press-office/2013/12/12/press-briefing-press-secretary-jay-carney-121213
"December 11, 2013","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 12/11/2013",/the-press-office/2013/12/11/press-briefing-principal-deputy-press-secretary-josh-earnest-12112013
date,title,transcript_url
"December 08, 2014","Press Briefing by the Press Secretary Josh Earnest, 12/8/14",/the-press-office/2014/12/08/press-briefing-press-secretary-josh-earnest-12814
"December 06, 2014","Press Briefing by Press Secretary Josh Earnest, 12/5/2014",/the-press-office/2014/12/06/press-briefing-press-secretary-josh-earnest-1252014
"December 04, 2014","Press Briefing by Press Secretary Josh Earnest, 12/4/2014",/the-press-office/2014/12/04/press-briefing-press-secretary-josh-earnest-1242014
"December 03, 2014","Press Briefing by Press Secretary Josh Earnest, 12/3/2014",/the-press-office/2014/12/03/press-briefing-press-secretary-josh-earnest-1232014
"December 02, 2014","Press Briefing by the Press Secretary Josh Earnest, 12/2/14",/the-press-office/2014/12/02/press-briefing-press-secretary-josh-earnest-12214
date,title,transcript_url
"November 19, 2014","Press Briefing by Press Secretary Josh Earnest, 11/19/2014",/the-press-office/2014/11/19/press-briefing-press-secretary-josh-earnest-11192014
"November 18, 2014","Press Briefing by the Press Secretary, 11/18/2014",/the-press-office/2014/11/18/press-briefing-press-secretary-11182014
"November 13, 2014","Press Briefing by Press Secretary Josh Earnest and Deputy National Security Advisor for Strategic Communications Ben Rhodes, 11/13/14",/the-press-office/2014/11/13/press-briefing-press-secretary-josh-earnest-and-deputy-national-security
"November 11, 2014","Press Briefing by Press Secretary Josh Earnest, Deputy National Security Advisor for Strategic Communications Ben Rhodes and U.S. Trade Representative Michael Froman",/the-press-office/2014/11/11/press-briefing-press-secretary-josh-earnest-deputy-national-security-adv
"November 07, 2014","Press Briefing by Press Secretary Josh Earnest, 11/7/2014",/the-press-office/2014/11/07/press-briefing-press-secretary-josh-earnest-1172014
"November 06, 2014","Press Briefing by the Press Secretary Josh Earnest, 11/6/2014",/the-press-office/2014/11/06/press-briefing-press-secretary-josh-earnest-1162014
"November 04, 2014","Press Briefing by Press Secretary Josh Earnest, 11/4/2014",/the-press-office/2014/11/04/press-briefing-press-secretary-josh-earnest-1142014
"November 03, 2014","Press Briefing by Press Secretary Josh Earnest, 11/3/2014",/the-press-office/2014/11/03/press-briefing-press-secretary-josh-earnest-1132014
date,title,transcript_url
"October 29, 2014","Press Briefing by Press Secretary Josh Earnest, 10/29/2014",/the-press-office/2014/10/29/press-briefing-press-secretary-josh-earnest-10292014
"October 28, 2014","Press Briefing by Press Secretary Josh Earnest, 10/28/14",/the-press-office/2014/10/28/press-briefing-press-secretary-josh-earnest-102814
"October 27, 2014","Press Briefing by Press Secretary Josh Earnest, 10/27/2014",/the-press-office/2014/10/27/press-briefing-press-secretary-josh-earnest-10272014
"October 24, 2014","Press Briefing by the Press Secretary Josh Earnest, 10/24/14",/the-press-office/2014/10/24/press-briefing-press-secretary-josh-earnest-102414
"October 23, 2014","Press Briefing by Press Secretary Josh Earnest, 10/23/2014",/the-press-office/2014/10/23/press-briefing-press-secretary-josh-earnest-10232014
"October 22, 2014","Press Briefing by the Press Secretary Josh Earnest, 10/22/2014",/the-press-office/2014/10/22/press-briefing-press-secretary-josh-earnest-10222014
"October 21, 2014","Press Briefing by Press Secretary Josh Earnest, 10/21/2014",/the-press-office/2014/10/21/press-briefing-press-secretary-josh-earnest-10212014
"October 17, 2014","Press Briefing by Press Secretary Josh Earnest, 10/17/14",/the-press-office/2014/10/17/press-briefing-press-secretary-josh-earnest-101714
date,title,transcript_url
"October 16, 2014","Press Briefing by Press Secretary Josh Earnest, 10/16/2014",/the-press-office/2014/10/16/press-briefing-press-secretary-josh-earnest-10162014
"October 15, 2014","Press Briefing by the Press Secretary, 10/15/2014",/the-press-office/2014/10/15/press-briefing-press-secretary-10152014
